vote_2020,vote_intention,registration,age,gender,education,state,household_income,agegroup,race
Joe Biden,"Yes, I will vote",Registered,38,Female,"Completed some college, but no degree",MI,"$60,000 to $64,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,45,Female,High school graduate,OH,"$55,000 to $59,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,30,Female,High school graduate,IL,"$45,000 to $49,999",21 to 35,White
Joe Biden,"Yes, I will vote",Registered,66,Female,High school graduate,MA,"$90,000 to $94,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,40,Female,Masters degree,MO,"$80,000 to $84,999",35 to 50,Chinese
Joe Biden,"Yes, I will vote",Registered,49,Female,Masters degree,CO,"$60,000 to $64,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,60,Female,"College Degree (such as B.A., B.S.)",NC,"$90,000 to $94,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,68,Female,Masters degree,NY,"$70,000 to $74,999",65 to 80,White
Donald Trump,"Yes, I will vote",Registered,58,Female,High school graduate,IN,"$60,000 to $64,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,33,Female,"College Degree (such as B.A., B.S.)",CA,"$50,000 to $54,999",21 to 35,Chinese
Donald Trump,"Yes, I will vote",Registered,26,Female,"Completed some college, but no degree",FL,"$250,000 and above",21 to 35,White
Donald Trump,"Yes, I will vote",Registered,76,Female,"Completed some college, but no degree",PA,"$65,000 to $69,999",65 to 80,White
Donald Trump,"Yes, I will vote",Registered,38,Female,High school graduate,SC,"$25,000 to $29,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,53,Female,Masters degree,IL,"$100,000 to $124,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,64,Female,"Completed some college, but no degree",OH,"$15,000 to $19,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,49,Male,Masters degree,NY,"$90,000 to $94,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,66,Male,"Completed some college, but no degree",IA,"$65,000 to $69,999",65 to 80,White
Donald Trump,"Yes, I will vote",Registered,56,Female,Masters degree,WI,"$125,000 to $149,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,26,Female,"College Degree (such as B.A., B.S.)",CT,"$85,000 to $89,999",21 to 35,White
Donald Trump,"Yes, I will vote",Registered,58,Female,High school graduate,PA,"$30,000 to $34,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,72,Female,"College Degree (such as B.A., B.S.)",NJ,"$100,000 to $124,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,36,Female,Masters degree,DC,"$60,000 to $64,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,70,Male,Masters degree,PA,"$100,000 to $124,999",65 to 80,White
Donald Trump,Not sure,Registered,25,Male,Associate Degree,GA,"$45,000 to $49,999",21 to 35,White
Joe Biden,"Yes, I will vote",Registered,40,Female,Masters degree,NY,"$150,000 to $174,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,42,Male,Masters degree,FL,"$150,000 to $174,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,26,Male,Completed some high school,FL,"Less than $14,999",21 to 35,"Black, or African American"
Joe Biden,"Yes, I will vote",Registered,45,Male,"Completed some college, but no degree",NY,"Less than $14,999",35 to 50,Chinese
Donald Trump,"Yes, I will vote",Registered,57,Female,Associate Degree,GA,"$30,000 to $34,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,55,Female,"Completed some college, but no degree",IL,"$90,000 to $94,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,70,Male,"Completed some college, but no degree",NM,"$55,000 to $59,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,55,Female,"College Degree (such as B.A., B.S.)",TN,"$100,000 to $124,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,46,Female,"College Degree (such as B.A., B.S.)",CA,"$25,000 to $29,999",35 to 50,Chinese
Donald Trump,"Yes, I will vote",Registered,32,Female,"College Degree (such as B.A., B.S.)",NC,"$55,000 to $59,999",21 to 35,White
Donald Trump,"Yes, I will vote",Registered,66,Female,"Completed some college, but no degree",VA,"$40,000 to $44,999",65 to 80,White
Donald Trump,"Yes, I will vote",Registered,35,Male,"College Degree (such as B.A., B.S.)",MN,"$45,000 to $49,999",21 to 35,White
Donald Trump,"Yes, I will vote",Registered,71,Male,Associate Degree,WI,"$25,000 to $29,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,37,Female,Masters degree,PA,"$100,000 to $124,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,27,Female,"Completed some college, but no degree",OK,"$30,000 to $34,999",21 to 35,White
Donald Trump,"Yes, I will vote",Registered,61,Female,Masters degree,IL,"$100,000 to $124,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,47,Male,Masters degree,FL,"$100,000 to $124,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,45,Female,Doctorate degree,TX,"$55,000 to $59,999",35 to 50,White
Donald Trump,Not sure,Registered,26,Female,"College Degree (such as B.A., B.S.)",IN,"$55,000 to $59,999",21 to 35,White
Donald Trump,"Yes, I will vote",Registered,53,Male,"College Degree (such as B.A., B.S.)",OH,"$15,000 to $19,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,65,Male,Associate Degree,AZ,"$50,000 to $54,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,50,Female,"College Degree (such as B.A., B.S.)",NJ,"$125,000 to $149,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,67,Male,"Completed some college, but no degree",CO,"$40,000 to $44,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,55,Male,Masters degree,PA,"$40,000 to $44,999",50 to 65,other asian or pacific islander
Joe Biden,"Yes, I will vote",Registered,48,Female,"Completed some college, but no degree",OH,"$40,000 to $44,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,68,Male,Associate Degree,HI,"$25,000 to $29,999",65 to 80,Japanese
Joe Biden,"Yes, I will vote",Registered,57,Male,Masters degree,CT,"$95,000 to $99,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,32,Female,Masters degree,FL,"$150,000 to $174,999",21 to 35,White
Joe Biden,"Yes, I will vote",Registered,67,Female,Associate Degree,NJ,"$60,000 to $64,999",65 to 80,"Black, or African American"
Donald Trump,"Yes, I will vote",Registered,52,Female,High school graduate,TX,"Less than $14,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,73,Male,Associate Degree,TX,"$80,000 to $84,999",65 to 80,White
Donald Trump,"Yes, I will vote",Registered,81,Male,Masters degree,MT,"$100,000 to $124,999",above 80,White
Joe Biden,"Yes, I will vote",Registered,66,Female,"Completed some college, but no degree",PA,"$15,000 to $19,999",65 to 80,White
Donald Trump,"Yes, I will vote",Registered,81,Male,"College Degree (such as B.A., B.S.)",CA,"$40,000 to $44,999",above 80,Chinese
Donald Trump,"Yes, I will vote",Registered,65,Female,"Completed some college, but no degree",TN,"$45,000 to $49,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,62,Female,"Completed some college, but no degree",NC,"$30,000 to $34,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,21,Female,High school graduate,PA,"$15,000 to $19,999",21 to 35,White
Joe Biden,"Yes, I will vote",Registered,44,Female,Associate Degree,CT,"$75,000 to $79,999",35 to 50,Other race
Donald Trump,"Yes, I will vote",Registered,33,Female,Doctorate degree,TN,"$100,000 to $124,999",21 to 35,"Black, or African American"
Donald Trump,"Yes, I will vote",Registered,58,Female,"College Degree (such as B.A., B.S.)",TN,"$175,000 to $199,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,60,Female,"Completed some college, but no degree",IL,"$100,000 to $124,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,40,Female,High school graduate,CT,"Less than $14,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,61,Female,"Completed some college, but no degree",WI,"$55,000 to $59,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,37,Female,"College Degree (such as B.A., B.S.)",FL,"$45,000 to $49,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,67,Female,"Completed some college, but no degree",VT,"$15,000 to $19,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,28,Male,"College Degree (such as B.A., B.S.)",NY,"$150,000 to $174,999",21 to 35,White
Donald Trump,"Yes, I will vote",Registered,28,Female,High school graduate,KY,"$15,000 to $19,999",21 to 35,White
Donald Trump,"Yes, I will vote",Registered,62,Female,"Completed some college, but no degree",MD,"$25,000 to $29,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,68,Female,Masters degree,MO,"$40,000 to $44,999",65 to 80,White
Donald Trump,"Yes, I will vote",Registered,52,Female,Masters degree,FL,"$175,000 to $199,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,73,Female,"Completed some college, but no degree",MT,"$95,000 to $99,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,38,Female,Completed some high school,WI,"$15,000 to $19,999",35 to 50,"Black, or African American"
Donald Trump,"Yes, I will vote",Registered,61,Female,"College Degree (such as B.A., B.S.)",IL,"$50,000 to $54,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,63,Female,"Completed some college, but no degree",MO,"$150,000 to $174,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,67,Female,"Completed some college, but no degree",TX,"$70,000 to $74,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,52,Male,"Completed some college, but no degree",TN,"$20,000 to $24,999",50 to 65,"Black, or African American"
Joe Biden,"Yes, I will vote",Registered,25,Female,Associate Degree,UT,"$55,000 to $59,999",21 to 35,White
Joe Biden,"Yes, I will vote",Registered,44,Male,Associate Degree,MN,"$45,000 to $49,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,74,Female,"College Degree (such as B.A., B.S.)",SC,"$35,000 to $39,999",65 to 80,White
Donald Trump,"Yes, I will vote",Registered,65,Female,Associate Degree,GA,"$50,000 to $54,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,39,Female,Masters degree,CA,"$35,000 to $39,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,50,Female,"College Degree (such as B.A., B.S.)",VA,"$175,000 to $199,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,68,Female,High school graduate,WV,"$70,000 to $74,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,18,Male,"Completed some college, but no degree",FL,"$35,000 to $39,999",20 or less,White
Donald Trump,"Yes, I will vote",Registered,56,Female,"College Degree (such as B.A., B.S.)",NE,"$35,000 to $39,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,51,Female,High school graduate,MI,"$15,000 to $19,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,62,Female,Associate Degree,AZ,"$70,000 to $74,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,73,Female,High school graduate,TN,"$25,000 to $29,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,55,Male,"College Degree (such as B.A., B.S.)",MA,"$30,000 to $34,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,58,Female,"Completed some college, but no degree",IL,"$100,000 to $124,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,66,Female,"College Degree (such as B.A., B.S.)",CA,"$45,000 to $49,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,74,Female,High school graduate,NY,"$30,000 to $34,999",65 to 80,White
Donald Trump,"Yes, I will vote",Registered,33,Male,High school graduate,CO,"$15,000 to $19,999",21 to 35,White
Joe Biden,"Yes, I will vote",Registered,37,Female,"College Degree (such as B.A., B.S.)",HI,"$150,000 to $174,999",35 to 50,Japanese
Joe Biden,"Yes, I will vote",Registered,63,Female,Masters degree,CA,"$175,000 to $199,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,41,Male,"College Degree (such as B.A., B.S.)",CA,"$55,000 to $59,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,54,Female,"Completed some college, but no degree",NY,"$35,000 to $39,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,41,Male,"Completed some college, but no degree",DC,"$45,000 to $49,999",35 to 50,"Black, or African American"
Joe Biden,"Yes, I will vote",Registered,73,Female,Masters degree,FL,"$70,000 to $74,999",65 to 80,White
Donald Trump,"Yes, I will vote",Registered,44,Male,Masters degree,TX,"$175,000 to $199,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,44,Male,Masters degree,NY,"$200,000 to $249,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,40,Male,Associate Degree,GA,"$20,000 to $24,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,23,Male,High school graduate,NY,"$70,000 to $74,999",21 to 35,"Black, or African American"
Joe Biden,"Yes, I will vote",Registered,32,Female,"College Degree (such as B.A., B.S.)",OH,"$45,000 to $49,999",21 to 35,White
Joe Biden,"Yes, I will vote",Registered,39,Male,Doctorate degree,CO,"$200,000 to $249,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,32,Male,"College Degree (such as B.A., B.S.)",NJ,"$25,000 to $29,999",21 to 35,White
Joe Biden,"Yes, I will vote",Registered,57,Male,High school graduate,IL,"$40,000 to $44,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,32,Male,"College Degree (such as B.A., B.S.)",MN,"$50,000 to $54,999",21 to 35,"Black, or African American"
Donald Trump,"Yes, I will vote",Registered,54,Female,High school graduate,MO,"$20,000 to $24,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,42,Female,Masters degree,CA,"$80,000 to $84,999",35 to 50,Other race
Joe Biden,"Yes, I will vote",Registered,18,Female,"Completed some college, but no degree",CA,"$100,000 to $124,999",20 or less,White
Donald Trump,"Yes, I will vote",Registered,56,Male,"College Degree (such as B.A., B.S.)",PA,"$70,000 to $74,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,42,Male,Doctorate degree,CA,"$200,000 to $249,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,70,Male,Masters degree,AZ,"$35,000 to $39,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,40,Male,Completed some high school,MO,"$25,000 to $29,999",35 to 50,"Black, or African American"
Joe Biden,"Yes, I will vote",Registered,57,Male,"Completed some college, but no degree",WI,"$75,000 to $79,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,40,Male,"College Degree (such as B.A., B.S.)",NY,"$150,000 to $174,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,38,Male,Masters degree,PA,"$125,000 to $149,999",35 to 50,White
Joe Biden,Not sure,Registered,27,Male,High school graduate,NY,"Less than $14,999",21 to 35,White
Joe Biden,"Yes, I will vote",Registered,38,Female,"College Degree (such as B.A., B.S.)",MN,"$100,000 to $124,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,34,Male,"College Degree (such as B.A., B.S.)",NH,"$30,000 to $34,999",21 to 35,White
Joe Biden,"Yes, I will vote",Registered,38,Female,High school graduate,MI,"$35,000 to $39,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,21,Female,Completed some high school,CO,"Less than $14,999",21 to 35,White
Donald Trump,"Yes, I will vote",Registered,40,Male,Masters degree,VA,"$175,000 to $199,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,45,Female,Completed some high school,MI,"Less than $14,999",35 to 50,"Black, or African American"
Joe Biden,"Yes, I will vote",Registered,19,Female,"Completed some college, but no degree",PA,"$50,000 to $54,999",20 or less,other asian or pacific islander
Joe Biden,"Yes, I will vote",Registered,65,Female,Masters degree,CA,"$100,000 to $124,999",50 to 65,White
Donald Trump,Not sure,Registered,61,Female,High school graduate,AZ,"$20,000 to $24,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,40,Male,"College Degree (such as B.A., B.S.)",KY,"$250,000 and above",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,37,Female,"College Degree (such as B.A., B.S.)",NV,"$50,000 to $54,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,20,Male,"Completed some college, but no degree",IL,"$15,000 to $19,999",20 or less,White
Joe Biden,"Yes, I will vote",Registered,42,Male,Masters degree,NY,"$200,000 to $249,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,19,Female,"College Degree (such as B.A., B.S.)",GA,"$65,000 to $69,999",20 or less,Other race
Joe Biden,"Yes, I will vote",Registered,45,Male,Masters degree,VA,"$150,000 to $174,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,67,Female,"College Degree (such as B.A., B.S.)",IN,"$95,000 to $99,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,29,Male,Completed some high school,MD,"$35,000 to $39,999",21 to 35,"Black, or African American"
Joe Biden,"Yes, I will vote",Registered,68,Female,Associate Degree,CA,"$50,000 to $54,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,31,Male,Masters degree,NJ,"$250,000 and above",21 to 35,Chinese
Joe Biden,"Yes, I will vote",Registered,43,Male,Associate Degree,FL,"$30,000 to $34,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,42,Male,Completed some high school,TX,"Less than $14,999",35 to 50,other asian or pacific islander
Donald Trump,"Yes, I will vote",Registered,41,Male,Doctorate degree,WI,"$200,000 to $249,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,19,Male,High school graduate,FL,"Less than $14,999",20 or less,"Black, or African American"
Joe Biden,"Yes, I will vote",Registered,62,Male,"Completed some college, but no degree",MI,"Less than $14,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,30,Male,Associate Degree,CA,"$40,000 to $44,999",21 to 35,White
Joe Biden,"Yes, I will vote",Registered,19,Male,"Completed some college, but no degree",IA,"Less than $14,999",20 or less,White
Donald Trump,"Yes, I will vote",Registered,42,Male,Masters degree,OH,"$200,000 to $249,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,61,Male,Completed some high school,MI,"$25,000 to $29,999",50 to 65,White
Joe Biden,Not sure,Registered,22,Female,"College Degree (such as B.A., B.S.)",MA,"$20,000 to $24,999",21 to 35,White
Donald Trump,"Yes, I will vote",Registered,39,Male,Doctorate degree,NJ,"$200,000 to $249,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,66,Female,Masters degree,CA,"$75,000 to $79,999",65 to 80,White
Donald Trump,"Yes, I will vote",Registered,38,Male,Completed some high school,TN,"Less than $14,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,35,Male,Masters degree,NY,"$200,000 to $249,999",21 to 35,White
Joe Biden,"Yes, I will vote",Registered,25,Male,"College Degree (such as B.A., B.S.)",MO,"$50,000 to $54,999",21 to 35,White
Donald Trump,"Yes, I will vote",Registered,35,Female,"College Degree (such as B.A., B.S.)",OH,"$90,000 to $94,999",21 to 35,White
Joe Biden,"Yes, I will vote",Registered,25,Male,Associate Degree,TX,"Less than $14,999",21 to 35,Other race
Joe Biden,"Yes, I will vote",Registered,70,Male,High school graduate,MD,"$125,000 to $149,999",65 to 80,"Black, or African American"
Joe Biden,"Yes, I will vote",Registered,82,Female,"Completed some college, but no degree",AZ,"$45,000 to $49,999",above 80,White
Donald Trump,"Yes, I will vote",Registered,50,Male,"College Degree (such as B.A., B.S.)",ME,"$35,000 to $39,999",35 to 50,White
Joe Biden,Not sure,Registered,20,Male,High school graduate,CA,"Less than $14,999",20 or less,White
Donald Trump,"Yes, I will vote",Registered,35,Male,Doctorate degree,NJ,"$200,000 to $249,999",21 to 35,White
Joe Biden,Not sure,Registered,24,Female,High school graduate,OH,"$35,000 to $39,999",21 to 35,White
Donald Trump,"Yes, I will vote",Registered,56,Male,"Completed some college, but no degree",WI,"$50,000 to $54,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,51,Male,"Completed some college, but no degree",SC,"$30,000 to $34,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,31,Female,High school graduate,ID,"$45,000 to $49,999",21 to 35,White
Donald Trump,"Yes, I will vote",Registered,34,Female,"College Degree (such as B.A., B.S.)",LA,"$125,000 to $149,999",21 to 35,White
Donald Trump,"Yes, I will vote",Registered,30,Male,"Completed some college, but no degree",FL,"$50,000 to $54,999",21 to 35,White
